year,week,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
2018,1,1,Greg Zuerlein(FA),4,5,80.0,55,0,3,0,0,1,3,3,1,17.0,17.0,1.7%
2018,1,2,Brandon McManus(GB),2,2,100.0,53,0,0,0,0,2,3,3,1,13.0,13.0,7.3%
2018,1,3,Adam Vinatieri(FA),3,4,75.0,51,0,1,1,0,1,2,2,1,13.0,13.0,0.9%
2018,1,4,Jason Myers(SEA),2,2,100.0,35,0,0,2,0,0,6,6,1,12.0,12.0,7.2%
2018,1,5,Chandler Catanzaro(FA),2,3,66.7,36,0,0,2,0,0,6,6,1,12.0,12.0,0.0%
2018,1,6,Justin Tucker(FA),2,2,100.0,41,0,0,1,1,0,5,5,1,12.0,12.0,10.4%
2018,1,7,Robbie Gould(FA),3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,1.1%
2018,1,8,Cody Parkey(FA),3,3,100.0,33,0,1,2,0,0,2,2,1,11.0,11.0,1.4%
2018,1,9,Randy Bullock(FA),2,2,100.0,42,0,0,1,1,0,4,4,1,11.0,11.0,1.2%
2018,1,10,Ryan Succop(FA),2,2,100.0,53,0,0,0,1,1,2,2,1,11.0,11.0,1.5%
2018,1,11,Aldrick Rosas(FA),3,3,100.0,44,0,1,1,1,0,0,0,1,10.0,10.0,0.0%
2018,1,12,Harrison Butker(KC),1,1,100.0,46,0,0,0,1,0,5,5,1,9.0,9.0,68.5%
2018,1,13,Ka'imi Fairbairn(HOU),2,2,100.0,42,0,0,1,1,0,2,2,1,9.0,9.0,66.4%
2018,1,14,Stephen Gostkowski(FA),2,2,100.0,39,0,0,2,0,0,3,3,1,9.0,9.0,0.8%
2018,1,15,Jason Sanders(MIA),2,2,100.0,30,0,1,1,0,0,3,3,1,9.0,9.0,43.2%
2018,1,16,Josh Lambo(FA),2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,8.0,0.6%
2018,1,17,Matt Bryant(FA),2,2,100.0,52,0,1,0,0,1,0,1,1,8.0,8.0,1.1%
2018,1,18,Mike Nugent(FA),2,2,100.0,48,0,1,0,1,0,1,1,1,8.0,8.0,1.0%
2018,1,19,Caleb Sturgis(FA),2,3,66.7,45,0,0,1,1,0,0,0,1,7.0,7.0,0.0%
2018,1,20,Daniel Carlson(LV),1,1,100.0,48,0,0,0,1,0,3,3,1,7.0,7.0,15.2%
2018,1,21,Mason Crosby(FA),1,1,100.0,42,0,0,0,1,0,3,3,1,7.0,7.0,0.1%
2018,1,22,Dustin Hopkins(CLE),1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,2.0%
2018,1,23,Wil Lutz(DEN),1,1,100.0,36,0,0,1,0,0,3,3,1,6.0,6.0,32.9%
2018,1,24,Sebastian Janikowski(FA),1,2,50.0,35,0,0,1,0,0,3,3,1,6.0,6.0,20.0%
2018,1,25,Matt Prater(FA),1,3,33.3,21,0,1,0,0,0,2,2,1,5.0,5.0,0.9%
2018,1,26,Graham Gano(NYG),1,1,100.0,27,0,1,0,0,0,1,1,1,4.0,4.0,2.3%
2018,1,27,Jake Elliott(PHI),1,1,100.0,26,0,1,0,0,0,1,1,1,4.0,4.0,60.7%
2018,1,28,Stephen Hauschka(FA),1,2,50.0,35,0,0,1,0,0,0,0,1,3.0,3.0,1.4%
2018,1,29,Chris Boswell(PIT),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,72.6%
2018,1,30,Zane Gonzalez(FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,6.3%
2018,1,31,Phil Dawson(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
2018,1,32,Brett Maher(FA),0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%
2018,2,1,Mason Crosby(FA),5,6,83.3,48,0,0,3,2,0,2,2,1,19.0,19.0,0.1%
2018,2,2,Robbie Gould(FA),3,3,100.0,45,0,0,1,2,0,3,3,1,14.0,14.0,1.1%
2018,2,3,Randy Bullock(FA),2,2,100.0,40,0,1,0,1,0,4,4,1,11.0,11.0,1.2%
2018,2,4,Dustin Hopkins(CLE),3,4,75.0,49,0,1,0,2,0,0,0,1,11.0,11.0,2.0%
2018,2,5,Matt Prater(FA),2,2,100.0,43,0,1,0,1,0,3,3,1,10.0,10.0,0.9%
2018,2,6,Stephen Hauschka(FA),2,2,100.0,43,0,0,0,2,0,2,2,1,10.0,10.0,1.4%
2018,2,7,Ryan Succop(FA),2,2,100.0,42,0,0,1,1,0,2,2,1,9.0,9.0,1.5%
2018,2,8,Stephen Gostkowski(FA),2,3,66.7,46,0,1,0,1,0,2,2,1,9.0,9.0,0.8%
2018,2,9,Jason Myers(SEA),2,2,100.0,55,0,0,0,1,1,0,1,1,9.0,9.0,7.2%
2018,2,10,Matt Bryant(FA),1,1,100.0,44,0,0,0,1,0,4,4,1,8.0,8.0,1.1%
2018,2,11,Mike Nugent(FA),2,2,100.0,46,0,1,0,1,0,1,2,1,8.0,8.0,1.0%
2018,2,12,Brett Maher(FA),2,2,100.0,37,0,1,1,0,0,2,2,1,8.0,8.0,1.4%
2018,2,13,Brandon McManus(GB),2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,8.0,7.3%
2018,2,14,Wil Lutz(DEN),2,3,66.7,44,0,0,1,1,0,1,1,1,8.0,8.0,32.9%
2018,2,15,Graham Gano(NYG),1,1,100.0,54,0,0,0,0,1,3,3,1,8.0,8.0,2.3%
2018,2,16,Josh Lambo(FA),1,1,100.0,28,0,1,0,0,0,4,4,1,7.0,7.0,0.6%
2018,2,17,Caleb Sturgis(FA),1,1,100.0,24,0,1,0,0,0,4,4,1,7.0,7.0,0.0%
2018,2,18,Justin Tucker(FA),1,1,100.0,55,0,0,0,0,1,2,2,1,7.0,7.0,10.4%
2018,2,19,Aldrick Rosas(FA),2,2,100.0,38,0,1,1,0,0,1,1,1,7.0,7.0,0.0%
2018,2,20,Sebastian Janikowski(FA),1,1,100.0,56,0,0,0,0,1,2,2,1,7.0,7.0,20.0%
2018,2,21,Cody Parkey(FA),1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,1.4%
2018,2,22,Zane Gonzalez(FA),2,4,50.0,39,0,0,2,0,0,0,2,1,6.0,6.0,6.3%
2018,2,23,Harrison Butker(KC),0,0,0,0,0,0,0,0,0,6,6,1,6.0,6.0,68.5%
2018,2,24,Ka'imi Fairbairn(HOU),1,2,50.0,34,0,0,1,0,0,2,2,1,5.0,5.0,66.4%
2018,2,25,Chandler Catanzaro(FA),0,0,0,0,0,0,0,0,0,3,4,1,3.0,3.0,0.0%
2018,2,26,Chris Boswell(PIT),0,1,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,72.6%
2018,2,27,Jake Elliott(PHI),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,60.7%
2018,2,28,Daniel Carlson(LV),0,3,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,15.2%
2018,2,29,Adam Vinatieri(FA),0,0,0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.9%
2018,2,30,Jason Sanders(MIA),0,0,0,0,0,0,0,0,0,2,3,1,2.0,2.0,43.2%
2018,2,31,Phil Dawson(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
2018,3,1,Wil Lutz(DEN),3,3,100.0,49,0,1,0,2,0,4,4,1,15.0,15.0,32.9%
2018,3,2,Matt Prater(FA),4,4,100.0,38,0,1,3,0,0,2,2,1,14.0,14.0,0.9%
2018,3,3,Justin Tucker(FA),2,3,66.7,52,0,0,0,0,2,3,3,1,13.0,13.0,10.4%
2018,3,4,Ka'imi Fairbairn(HOU),3,3,100.0,54,0,2,0,0,1,1,1,1,12.0,12.0,66.4%
2018,3,5,Cody Parkey(FA),3,4,75.0,43,0,1,0,2,0,1,1,1,12.0,12.0,1.4%
2018,3,6,Stephen Hauschka(FA),2,2,100.0,50,0,0,1,0,1,3,3,1,11.0,11.0,1.4%
2018,3,7,Mike Nugent(FA),2,2,100.0,52,0,1,0,0,1,2,2,1,10.0,10.0,1.0%
2018,3,8,Adam Vinatieri(FA),3,3,100.0,35,0,1,2,0,0,1,1,1,10.0,10.0,0.9%
2018,3,9,Aldrick Rosas(FA),2,2,100.0,44,0,0,1,1,0,3,3,1,10.0,10.0,0.0%
2018,3,10,Chandler Catanzaro(FA),2,2,100.0,28,0,2,0,0,0,3,3,1,9.0,9.0,0.0%
2018,3,11,Brett Maher(FA),2,2,100.0,50,0,0,1,0,1,1,1,1,9.0,9.0,1.4%
2018,3,12,Ryan Succop(FA),3,4,75.0,39,0,1,2,0,0,0,0,1,9.0,9.0,1.5%
2018,3,13,Graham Gano(NYG),1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,2.3%
2018,3,14,Harrison Butker(KC),1,1,100.0,37,0,0,1,0,0,5,5,1,8.0,8.0,68.5%
2018,3,15,Greg Joseph(SF),2,2,100.0,45,0,1,0,1,0,1,1,1,8.0,8.0,0.6%
2018,3,16,Jake Elliott(PHI),2,3,66.7,33,0,1,1,0,0,2,2,1,8.0,8.0,60.7%
2018,3,17,Josh Lambo(FA),2,2,100.0,46,0,0,1,1,0,0,0,1,7.0,7.0,0.6%
2018,3,18,Sebastian Janikowski(FA),1,1,100.0,47,0,0,0,1,0,3,3,1,7.0,7.0,20.0%
2018,3,19,Dustin Hopkins(CLE),1,1,100.0,35,0,0,1,0,0,4,4,1,7.0,7.0,2.0%
2018,3,20,Robbie Gould(FA),2,2,100.0,39,0,0,2,0,0,1,2,1,7.0,7.0,1.1%
2018,3,21,Chris Boswell(PIT),1,2,50.0,38,0,0,1,0,0,3,4,1,6.0,6.0,72.6%
2018,3,22,Mason Crosby(FA),1,1,100.0,41,0,0,0,1,0,2,2,1,6.0,6.0,0.1%
