year,week,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
2020,1,1,Daniel Carlson(LV),2,2,100.0,54,0,1,0,0,1,4,4,1,12.0,12.0,15.2%
2020,1,2,Matt Prater(FA),3,4,75.0,44,0,1,1,1,0,2,2,1,12.0,12.0,0.9%
2020,1,3,Mason Crosby(FA),2,2,100.0,43,0,0,1,1,0,5,5,1,12.0,12.0,0.1%
2020,1,4,Josh Lambo(FA),2,2,100.0,50,0,0,0,1,1,3,3,1,12.0,12.0,0.6%
2020,1,5,Joey Slye(TEN),3,3,100.0,47,0,0,1,2,0,1,2,1,12.0,12.0,2.0%
2020,1,6,Michael Badgley(FA),3,4,75.0,43,0,2,0,1,0,1,1,1,11.0,11.0,3.4%
2020,1,7,Dustin Hopkins(CLE),2,3,66.7,40,0,0,1,1,0,3,3,1,10.0,10.0,2.0%
2020,1,8,Randy Bullock(FA),2,3,66.7,50,0,0,0,1,1,1,1,1,10.0,10.0,1.2%
2020,1,9,Robbie Gould(FA),2,2,100.0,52,0,1,0,0,1,2,2,1,10.0,10.0,1.1%
2020,1,10,Wil Lutz(DEN),2,2,100.0,29,0,2,0,0,0,4,4,1,10.0,10.0,32.9%
2020,1,11,Harrison Butker(KC),2,2,100.0,29,1,1,0,0,0,4,4,1,10.0,10.0,68.5%
2020,1,12,Justin Tucker(FA),1,1,100.0,41,0,0,0,1,0,5,5,1,9.0,9.0,10.4%
2020,1,13,Cairo Santos(CHI),2,2,100.0,35,0,1,1,0,0,3,3,1,9.0,9.0,14.0%
2020,1,14,Jason Myers(SEA),1,1,100.0,42,0,0,0,1,0,5,5,1,9.0,9.0,7.2%
2020,1,15,Younghoe Koo(ATL),2,2,100.0,49,0,0,0,2,0,1,2,1,9.0,9.0,22.0%
2020,1,16,Tyler Bass(BUF),2,4,50.0,22,1,1,0,0,0,3,3,1,9.0,9.0,61.2%
2020,1,17,Chris Boswell(PIT),2,2,100.0,41,0,0,1,1,0,2,3,1,9.0,9.0,72.6%
2020,1,18,Zane Gonzalez(FA),1,3,33.3,56,0,0,0,0,1,3,3,1,8.0,8.0,6.3%
2020,1,19,Rodrigo Blankenship(FA),2,3,66.7,38,0,1,1,0,0,2,2,1,8.0,8.0,0.2%
2020,1,20,Sam Sloman(FA),2,3,66.7,35,0,0,2,0,0,2,2,1,8.0,8.0,1.2%
2020,1,21,Ryan Succop(FA),1,2,50.0,38,0,0,1,0,0,2,2,1,5.0,5.0,1.5%
2020,1,22,Jake Elliott(PHI),1,2,50.0,38,0,0,1,0,0,2,2,1,5.0,5.0,60.7%
2020,1,23,Greg Zuerlein(FA),1,2,50.0,33,0,0,1,0,0,2,2,1,5.0,5.0,1.7%
2020,1,24,Sam Ficken(FA),1,1,100.0,31,0,0,1,0,0,2,2,1,5.0,5.0,0.0%
2020,1,25,Graham Gano(NYG),1,1,100.0,21,0,1,0,0,0,1,1,1,4.0,4.0,2.3%
2020,1,26,Jason Sanders(MIA),1,1,100.0,46,0,0,0,1,0,0,0,1,4.0,4.0,43.2%
2020,1,27,Stephen Gostkowski(FA),1,4,25.0,25,0,1,0,0,0,1,2,1,4.0,4.0,0.8%
2020,1,28,Dan Bailey(FA),1,1,100.0,35,0,0,1,0,0,1,1,1,4.0,4.0,1.1%
2020,1,29,Nick Folk(FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.9%
2020,1,30,Brandon McManus(GB),0,0,0,0,0,0,0,0,0,2,2,1,2.0,2.0,7.3%
2020,1,31,Ka'imi Fairbairn(HOU),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,66.4%
2020,1,32,Austin Seibert(FA),0,1,0.0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.7%
2020,1,33,Ty Long(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%
2020,2,1,Younghoe Koo(ATL),4,4,100.0,42,0,1,1,2,0,3,3,1,17.0,17.0,22.0%
2020,2,2,Justin Tucker(FA),4,4,100.0,47,0,1,2,1,0,3,3,1,16.0,16.0,10.4%
2020,2,3,Rodrigo Blankenship(FA),4,4,100.0,44,0,1,2,1,0,2,2,1,15.0,15.0,0.2%
2020,2,4,Randy Bullock(FA),3,3,100.0,43,0,1,1,1,0,3,3,1,13.0,13.0,1.2%
2020,2,5,Harrison Butker(KC),3,3,100.0,58,0,0,1,0,2,0,1,1,13.0,13.0,68.5%
2020,2,6,Zane Gonzalez(FA),3,3,100.0,49,0,1,1,1,0,3,3,1,13.0,13.0,6.3%
2020,2,7,Daniel Carlson(LV),2,2,100.0,54,0,1,0,0,1,4,4,1,12.0,12.0,15.2%
2020,2,8,Ka'imi Fairbairn(HOU),3,3,100.0,45,0,0,1,2,0,1,1,1,12.0,12.0,66.4%
2020,2,9,Stephen Gostkowski(FA),2,2,100.0,51,0,0,0,1,1,3,4,1,12.0,12.0,0.8%
