year,week,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
2019,1,1,Harrison Butker(KC),4,4,100.0,46,0,2,1,1,0,4,4,1,17.0,17.0,68.5%
2019,1,2,Stephen Gostkowski(FA),4,4,100.0,41,0,1,2,1,0,3,3,1,16.0,16.0,0.8%
2019,1,3,Greg Zuerlein(FA),3,4,75.0,56,0,1,0,1,1,3,3,1,15.0,15.0,1.7%
2019,1,4,Wil Lutz(DEN),3,4,75.0,58,0,0,1,1,1,3,3,1,15.0,15.0,32.9%
2019,1,5,Zane Gonzalez(FA),4,4,100.0,42,0,2,1,1,0,1,1,1,14.0,14.0,6.3%
2019,1,6,Cairo Santos(CHI),2,2,100.0,53,0,0,1,0,1,5,5,1,13.0,13.0,14.0%
2019,1,7,Joey Slye(TEN),2,3,66.7,52,0,0,0,1,1,3,3,1,12.0,12.0,2.0%
2019,1,8,Robbie Gould(FA),3,4,75.0,47,0,1,1,1,0,2,2,1,12.0,12.0,1.1%
2019,1,9,Dustin Hopkins(CLE),2,2,100.0,48,0,0,0,2,0,3,3,1,11.0,11.0,2.0%
2019,1,10,Matt Prater(FA),2,2,100.0,55,0,0,1,0,1,3,3,1,11.0,11.0,0.9%
2019,1,11,Justin Tucker(FA),1,1,100.0,34,0,0,1,0,0,8,8,1,11.0,11.0,10.4%
2019,1,12,Brandon McManus(GB),3,4,75.0,39,0,2,1,0,0,1,1,1,10.0,10.0,7.3%
2019,1,13,Josh Lambo(FA),2,2,100.0,37,0,1,1,0,0,2,2,1,8.0,8.0,0.6%
2019,1,14,Randy Bullock(FA),2,3,66.7,39,0,1,1,0,0,2,2,1,8.0,8.0,1.2%
2019,1,15,Ty Long(FA),1,1,100.0,40,0,0,0,1,0,3,3,1,7.0,7.0,1.1%
2019,1,16,Daniel Carlson(LV),1,1,100.0,29,0,1,0,0,0,3,3,1,6.0,6.0,15.2%
2019,1,17,Stephen Hauschka(FA),1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,6.0,1.4%
2019,1,18,Jake Elliott(PHI),1,1,100.0,22,0,1,0,0,0,3,3,1,6.0,6.0,60.7%
2019,1,19,Jason Sanders(MIA),1,1,100.0,54,0,0,0,0,1,1,1,1,6.0,6.0,43.2%
2019,1,20,Matt Gay(WAS),1,1,100.0,31,0,0,1,0,0,2,2,1,5.0,5.0,16.1%
2019,1,21,Brett Maher(FA),0,0,0,0,0,0,0,0,0,5,5,1,5.0,5.0,1.4%
2019,1,22,Aldrick Rosas(FA),1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,5.0,0.0%
2019,1,23,Adam Vinatieri(FA),1,3,33.3,44,0,0,0,1,0,1,2,1,5.0,5.0,0.9%
2019,1,24,Ka'imi Fairbairn(HOU),0,0,0,0,0,0,0,0,0,4,4,1,4.0,4.0,66.4%
2019,1,25,Dan Bailey(FA),0,0,0,0,0,0,0,0,0,4,4,1,4.0,4.0,1.1%
2019,1,26,Mason Crosby(FA),1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,0.1%
2019,1,27,Eddy Pineiro(FA),1,1,100.0,38,0,0,1,0,0,0,0,1,3.0,3.0,1.1%
2019,1,28,Chris Boswell(PIT),1,1,100.0,19,1,0,0,0,0,0,0,1,3.0,3.0,72.6%
2019,1,29,Jason Myers(SEA),0,0,0,0,0,0,0,0,0,3,3,1,3.0,3.0,7.2%
2019,1,30,Austin Seibert(FA),0,0,0,0,0,0,0,0,0,1,2,1,1.0,1.0,0.7%
2019,1,31,Matt McCrane(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
2019,1,32,Michael Badgley(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.4%
2019,1,33,Kaare Vedvik(FA),0,1,0.0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.2%
2019,1,34,Greg Joseph(SF),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%
2019,1,35,Sebastian Janikowski(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,20.0%
2019,1,36,Ryan Succop(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.5%
2019,1,37,Graham Gano(NYG),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.3%
2019,1,38,Mike Nugent(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%
2019,1,39,Matt Bryant(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%
2019,1,40,Cody Parkey(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%
2019,1,41,Kai Forbath(LAR),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0%
