year,week,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
2023,1,1,Jake Elliott(PHI),4,4,100.0,56,0,0,1,1,2,1,2,1,18.0,18.0,60.7%
2023,1,2,Nick Folk(FA),5,5,100.0,50,0,2,1,1,1,0,0,1,18.0,18.0,0.9%
2023,1,3,Brett Maher(FA),3,5,60.0,54,0,0,1,1,1,3,3,1,15.0,15.0,1.4%
2023,1,4,Jake Moody(SF),3,3,100.0,41,0,0,1,2,0,3,3,1,14.0,14.0,12.5%
2023,1,5,Jason Sanders(MIA),3,3,100.0,45,0,1,0,2,0,3,4,1,14.0,14.0,43.2%
2023,1,6,Tyler Bass(BUF),3,3,100.0,50,0,0,1,1,1,1,1,1,13.0,13.0,61.2%
2023,1,7,Cameron Dicker(LAC),2,2,100.0,50,0,1,0,0,1,4,4,1,12.0,12.0,91.9%
2023,1,8,Dustin Hopkins(CLE),3,3,100.0,43,0,0,1,2,0,1,1,1,12.0,12.0,2.0%
2023,1,9,Matt Prater(FA),3,3,100.0,54,0,1,1,0,1,1,1,1,12.0,12.0,0.9%
2023,1,10,Blake Grupe(NO),3,3,100.0,52,0,1,1,0,1,1,1,1,12.0,12.0,2.6%
2023,1,11,Greg Zuerlein(FA),3,3,100.0,43,0,1,1,1,0,1,1,1,11.0,11.0,1.7%
2023,1,12,Anders Carlson(FA),1,1,100.0,52,0,0,0,0,1,5,5,1,10.0,10.0,0.9%
2023,1,13,Brandon Aubrey(DAL),2,2,100.0,38,0,1,1,0,0,4,5,1,10.0,10.0,95.8%
2023,1,14,Chase McLaughlin(TB),2,2,100.0,57,0,0,1,0,1,2,2,1,10.0,10.0,71.0%
2023,1,15,Ka'imi Fairbairn(HOU),3,3,100.0,38,0,0,3,0,0,0,0,1,9.0,9.0,66.4%
2023,1,16,Harrison Butker(KC),2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,8.0,68.5%
2023,1,17,Jason Myers(SEA),2,3,66.7,42,0,0,1,1,0,1,1,1,8.0,8.0,7.2%
2023,1,18,Joey Slye(TEN),2,2,100.0,33,0,0,2,0,0,2,2,1,8.0,8.0,2.0%
2023,1,19,Brandon McManus(GB),1,1,100.0,45,0,0,0,1,0,4,4,1,8.0,8.0,7.3%
2023,1,20,Cairo Santos(CHI),2,2,100.0,47,0,1,0,1,0,0,0,1,7.0,7.0,14.0%
2023,1,21,Younghoe Koo(ATL),1,1,100.0,49,0,0,0,1,0,3,3,1,7.0,7.0,22.0%
2023,1,22,Greg Joseph(SF),1,1,100.0,25,0,1,0,0,0,2,2,1,5.0,5.0,0.6%
2023,1,23,Justin Tucker(FA),1,1,100.0,39,0,0,1,0,0,2,2,1,5.0,5.0,10.4%
2023,1,24,Daniel Carlson(LV),1,1,100.0,24,0,1,0,0,0,2,2,1,5.0,5.0,15.2%
2023,1,25,Eddy Pineiro(FA),1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,1.1%
