year,week,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
2021,1,1,Robbie Gould(FA),2,3,66.7,52,0,0,0,1,1,5,5,1,14.0,14.0,1.1%
2021,1,2,Joey Slye(TEN),3,3,100.0,40,0,2,0,1,0,4,4,1,14.0,14.0,2.0%
2021,1,3,Chris Boswell(PIT),3,3,100.0,45,0,2,0,1,0,2,2,1,12.0,12.0,72.6%
2021,1,4,Greg Zuerlein(FA),3,5,60.0,48,0,1,1,1,0,2,3,1,12.0,12.0,1.7%
2021,1,5,Dustin Hopkins(CLE),3,4,75.0,48,0,0,1,2,0,1,1,1,12.0,12.0,2.0%
2021,1,6,Matt Gay(WAS),2,2,100.0,53,0,1,0,0,1,4,4,1,12.0,12.0,16.1%
2021,1,7,Evan McPherson(CIN),2,2,100.0,53,0,0,1,0,1,3,3,1,11.0,11.0,43.6%
2021,1,8,Daniel Carlson(LV),2,2,100.0,55,0,0,1,0,1,3,3,1,11.0,11.0,15.2%
2021,1,9,Justin Tucker(FA),2,2,100.0,47,0,0,0,2,0,3,3,1,11.0,11.0,10.4%
2021,1,10,Tyler Bass(BUF),3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,61.2%
2021,1,11,Nick Folk(FA),3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,0.9%
2021,1,12,Harrison Butker(KC),2,2,100.0,43,0,1,0,1,0,3,3,1,10.0,10.0,68.5%
2021,1,13,Aldrick Rosas(FA),1,1,100.0,44,0,0,0,1,0,5,5,1,9.0,9.0,0.0%
2021,1,14,Brandon McManus(GB),2,2,100.0,36,0,1,1,0,0,3,3,1,9.0,9.0,7.3%
2021,1,15,Matt Prater(FA),1,2,50.0,34,0,0,1,0,0,5,5,1,8.0,8.0,0.9%
2021,1,16,Greg Joseph(SF),1,1,100.0,53,0,0,0,0,1,3,3,1,8.0,8.0,0.6%
2021,1,17,Tristan Vizcaino(FA),2,2,100.0,33,0,1,1,0,0,2,2,1,8.0,8.0,0.0%
2021,1,18,Ryan Succop(FA),1,1,100.0,36,0,0,1,0,0,4,4,1,7.0,7.0,1.5%
2021,1,19,Jake Elliott(PHI),1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,60.7%
2021,1,20,Ryan Santoso(FA),2,2,100.0,29,0,2,0,0,0,1,2,1,7.0,7.0,0.0%
2021,1,21,Austin Seibert(FA),1,2,50.0,49,0,0,0,1,0,2,2,1,6.0,6.0,0.7%
2021,1,22,Younghoe Koo(ATL),2,2,100.0,27,0,2,0,0,0,0,0,1,6.0,6.0,22.0%
