year,week,Rank,Player,Rush_ATT,Rush_YDS,Rush_Y/A,LG,20+,Rush_TD,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,Rec_TD,FL,G,FPTS,FPTS/G,ROST
2024,1,1,Saquon Barkley(PHI),24,109,4.5,34,1,2,2,2,23,11.5,1,0,1,31.2,31.2,99.0%
2024,1,2,Joe Mixon(HOU),30,159,5.3,13,0,1,3,3,19,6.3,0,0,1,23.8,23.8,96.6%
2024,1,3,Jordan Mason(MIN),28,147,5.3,24,1,1,1,1,5,5.0,0,0,1,21.2,21.2,71.4%
2024,1,4,J.K. Dobbins(DEN),10,135,13.5,61,2,1,3,3,4,1.3,0,0,1,19.9,19.9,66.0%
2024,1,5,Rhamondre Stevenson(NE),25,120,4.8,17,0,1,3,3,6,2.0,0,0,1,18.6,18.6,82.7%
2024,1,6,Alvin Kamara(NO),15,83,5.5,17,0,1,5,5,27,5.4,0,0,1,17.0,17.0,95.0%
2024,1,7,Aaron Jones Sr.(MIN),14,94,6.7,19,0,1,2,2,15,7.5,0,0,1,16.9,16.9,90.4%
2024,1,8,Kenneth Walker III(SEA),20,103,5.2,23,1,1,2,3,6,3.0,0,0,1,16.9,16.9,94.5%
2024,1,9,James Conner(ARI),16,50,3.1,20,1,1,3,4,33,11.0,0,0,1,16.3,16.3,93.3%
2024,1,10,De'Von Achane(MIA),10,24,2.4,9,0,1,7,7,76,10.9,0,0,1,16.0,16.0,98.3%
2024,1,11,Tony Pollard(TEN),16,82,5.1,26,1,1,3,4,12,4.0,0,0,1,15.4,15.4,88.9%
2024,1,12,David Montgomery(DET),17,91,5.4,21,1,1,1,1,2,2.0,0,0,1,15.3,15.3,94.0%
2024,1,13,Brian Robinson Jr.(WAS),12,40,3.3,7,0,1,3,4,49,16.3,0,0,1,14.9,14.9,87.3%
2024,1,14,Isiah Pacheco(KC),15,45,3.0,5,0,1,2,3,33,16.5,0,0,1,13.8,13.8,90.9%
2024,1,15,Jahmyr Gibbs(DET),11,40,3.6,8,0,1,4,6,34,8.5,0,0,1,13.4,13.4,99.0%
2024,1,16,Breece Hall(NYJ),16,54,3.4,16,0,1,5,6,39,7.8,0,1,1,13.3,13.3,96.7%
2024,1,17,Jerome Ford(CLE),12,44,3.7,11,0,1,6,7,25,4.2,0,0,1,12.9,12.9,36.9%
2024,1,18,Alexander Mattison(MIA),5,19,3.8,7,0,0,4,6,43,10.8,1,0,1,12.2,12.2,8.8%
2024,1,19,Zack Moss(CIN),9,44,4.9,16,0,1,2,4,17,8.5,0,0,1,12.1,12.1,16.8%
2024,1,20,Kyren Williams(LAR),18,50,2.8,9,0,1,3,3,4,1.3,0,0,1,11.4,11.4,97.7%
2024,1,21,Jamaal Williams(FA),11,38,3.5,14,0,1,1,1,13,13.0,0,0,1,11.1,11.1,1.1%
2024,1,22,Bijan Robinson(ATL),18,68,3.8,13,0,0,5,5,43,8.6,0,0,1,11.1,11.1,98.7%
2024,1,23,Ezekiel Elliott(FA),10,40,4.0,9,0,1,2,2,9,4.5,0,0,1,10.9,10.9,5.1%
2024,1,24,Jonathan Taylor(IND),16,48,3.0,7,0,1,0,0,0,0,0,0,1,10.8,10.8,98.3%
2024,1,25,Rachaad White(TB),15,31,2.1,15,0,0,6,6,75,12.5,0,0,1,10.6,10.6,73.8%
2024,1,26,Derrick Henry(BAL),13,46,3.5,9,0,1,0,2,0,0,0,0,1,10.6,10.6,98.7%
2024,1,27,Josh Jacobs(GB),16,84,5.3,32,2,0,2,3,20,10.0,0,0,1,10.4,10.4,98.5%
2024,1,28,James Cook(BUF),19,71,3.7,15,0,0,3,3,32,10.7,0,0,1,10.3,10.3,97.7%
2024,1,29,Zach Charbonnet(SEA),8,12,1.5,6,0,0,2,3,29,14.5,1,0,1,10.1,10.1,80.9%
2024,1,30,Travis Etienne Jr.(JAC),12,44,3.7,11,0,1,2,3,15,7.5,0,1,1,9.9,9.9,84.2%
2024,1,31,Najee Harris(LAC),20,70,3.5,20,1,0,1,2,9,9.0,0,0,1,7.9,7.9,83.5%
2024,1,32,Bucky Irving(TB),9,62,6.9,31,1,0,2,3,14,7.0,0,0,1,7.6,7.6,98.6%
2024,1,33,Tank Bigsby(JAC),12,73,6.1,26,1,0,0,0,0,0,0,0,1,7.3,7.3,73.7%
2024,1,34,Austin Ekeler(WAS),2,10,5.0,6,0,0,4,4,52,13.0,0,0,1,6.2,6.2,69.0%
2024,1,35,DeeJay Dallas(ARI),0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0.1%
2024,1,36,Justice Hill(BAL),1,3,3.0,3,0,0,6,8,52,8.7,0,0,1,5.5,5.5,21.4%
2024,1,37,Devin Singletary(NYG),10,37,3.7,7,0,0,4,5,15,3.8,0,0,1,5.2,5.2,7.7%
2024,1,38,D'Andre Swift(CHI),10,30,3.0,20,1,0,0,1,0,0,0,0,1,5.0,5.0,89.8%
2024,1,39,Emanuel Wilson(GB),4,46,11.5,18,0,0,2,3,2,1.0,0,0,1,4.8,4.8,3.2%
2024,1,40,Ty Chandler(MIN),8,17,2.1,6,0,0,3,3,25,8.3,0,0,1,4.2,4.2,4.8%
2024,1,41,Kyle Juszczyk(SF),0,0,0,0,0,0,2,3,40,20.0,0,0,1,4.0,4.0,1.4%
2024,1,42,Rico Dowdle(CAR),8,26,3.3,10,0,0,1,1,6,6.0,0,0,1,3.2,3.2,40.6%
2024,1,43,Tyjae Spears(TEN),4,21,5.3,11,0,0,4,4,11,2.8,0,0,1,3.2,3.2,69.8%
2024,1,44,Pierre Strong Jr.(CLE),2,10,5.0,6,0,0,2,3,20,10.0,0,0,1,3.0,3.0,1.0%
2024,1,45,Gus Edwards(FA),11,26,2.4,10,0,0,1,1,2,2.0,0,0,1,2.8,2.8,2.4%
2024,1,46,Ray Davis(BUF),3,13,4.3,13,0,0,1,1,14,14.0,0,0,1,2.7,2.7,45.3%
2024,1,47,Zamir White(LV),13,44,3.4,12,0,0,2,2,2,1.0,0,1,1,2.6,2.6,11.0%
2024,1,48,Jeff Wilson Jr.(FA),5,26,5.2,14,0,0,0,0,0,0,0,0,1,2.6,2.6,1.0%
2024,1,49,Emari Demercado(ARI),0,0,0,0,0,0,2,2,26,13.0,0,0,1,2.6,2.6,1.6%
2024,1,50,Chase Brown(CIN),3,11,3.7,8,0,0,3,3,12,4.0,0,0,1,2.3,2.3,95.6%
2024,1,51,Javonte Williams(DAL),8,23,2.9,9,0,0,1,2,0,0.0,0,0,1,2.3,2.3,79.3%
2024,1,52,Miles Sanders(DAL),5,22,4.4,8,0,0,0,2,0,0,0,0,1,2.2,2.2,12.7%
2024,1,53,Tyler Allgeier(ATL),3,21,7.0,13,0,0,0,0,0,0,0,0,1,2.1,2.1,49.5%
2024,1,54,Jaylen Warren(PIT),2,7,3.5,8,0,0,2,2,13,6.5,0,0,1,2.0,2.0,85.6%
2024,1,55,Raheem Mostert(LV),6,9,1.5,6,0,0,2,3,10,5.0,0,0,1,1.9,1.9,15.3%
2024,1,56,Antonio Gibson(NE),7,18,2.6,8,0,0,0,0,0,0,0,0,1,1.8,1.8,13.1%
2024,1,57,Hunter Luepke(DAL),0,0,0,0,0,0,2,2,18,9.0,0,0,1,1.8,1.8,0.6%
2024,1,58,Trey Benson(ARI),3,13,4.3,6,0,0,1,1,5,5.0,0,0,1,1.8,1.8,47.7%
2024,1,59,Braelon Allen(NYJ),1,8,8.0,8,0,0,1,1,9,9.0,0,0,1,1.7,1.7,28.7%
2024,1,60,Dameon Pierce(HOU),3,16,5.3,9,0,0,0,0,0,0,0,0,1,1.6,1.6,10.0%
2024,1,61,Ronnie Rivers(LAR),2,16,8.0,12,0,0,0,0,0,0,0,0,1,1.6,1.6,0.6%
2024,1,62,Eric Gray(NYG),2,6,3.0,6,0,0,1,1,9,9.0,0,0,1,1.5,1.5,0.8%
2024,1,63,Audric Estime(DEN),2,14,7.0,12,0,0,0,0,0,0,0,0,1,1.4,1.4,13.0%
2024,1,64,Chuba Hubbard(CAR),6,14,2.3,7,0,0,0,0,0,0,0,0,1,1.4,1.4,95.0%
2024,1,65,Cordarrelle Patterson(PIT),4,13,3.3,5,0,0,0,0,0,0,0,0,1,1.3,1.3,1.2%
