year,week,Rank,Player,Rush_ATT,Rush_YDS,Rush_Y/A,LG,20+,Rush_TD,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,Rec_TD,FL,G,FPTS,FPTS/G,ROST
2018,1,1,Alvin Kamara(NO),8,29,3.6,10,0,2,9,12,112,12.4,1,0,1,34.1,34.1,95.0%
2018,1,2,James Conner(ARI),31,132,4.3,22,1,2,5,6,57,11.4,0,1,1,28.9,28.9,93.3%
2018,1,3,Isaiah Crowell(FA),10,102,10.2,62,1,2,0,0,0,0,0,0,1,22.2,22.2,0.1%
2018,1,4,Joe Mixon(HOU),17,95,5.6,27,1,1,5,7,54,10.8,0,0,1,20.9,20.9,96.6%
2018,1,5,Todd Gurley II(FA),20,108,5.4,23,1,0,3,5,39,13.0,1,0,1,20.7,20.7,0.6%
2018,1,6,Adrian Peterson(FA),26,96,3.7,17,0,1,2,3,70,35.0,0,1,1,20.6,20.6,2.0%
2018,1,7,Jay Ajayi(FA),15,62,4.1,11,0,2,0,0,0,0,0,0,1,20.2,20.2,7.0%
2018,1,8,Chris Thompson(FA),5,65,13.0,16,0,0,6,7,63,10.5,1,0,1,18.8,18.8,0.0%
2018,1,9,Saquon Barkley(PHI),18,106,5.9,68,1,1,2,6,22,11.0,0,0,1,18.8,18.8,99.0%
2018,1,10,Austin Ekeler(WAS),5,39,7.8,10,0,0,5,5,87,17.4,1,0,1,18.6,18.6,69.0%
2018,1,11,Melvin Gordon III(FA),15,64,4.3,18,0,0,9,13,102,11.3,0,0,1,18.6,18.6,0.0%
2018,1,12,Dion Lewis(FA),16,75,4.7,26,1,1,5,8,35,7.0,0,0,1,17.0,17.0,2.0%
2018,1,13,Phillip Lindsay(FA),15,71,4.7,14,0,0,2,3,31,15.5,1,0,1,16.2,16.2,0.0%
2018,1,14,Ezekiel Elliott(FA),15,69,4.6,17,0,1,3,4,17,5.7,0,0,1,14.6,14.6,5.1%
2018,1,15,T.J. Yeldon(FA),14,51,3.6,15,0,0,3,7,18,6.0,1,0,1,12.9,12.9,0.0%
2018,1,16,David Johnson(FA),9,37,4.1,11,0,1,5,9,30,6.0,0,0,1,12.7,12.7,0.0%
2018,1,17,Carlos Hyde(FA),22,62,2.8,12,0,1,1,2,3,3.0,0,0,1,12.5,12.5,0.0%
2018,1,18,James White(FA),5,18,3.6,11,0,0,4,9,38,9.5,1,0,1,11.6,11.6,0.1%
2018,1,19,Lamar Miller(FA),20,98,4.9,31,1,0,1,2,11,11.0,0,0,1,10.9,10.9,0.0%
2018,1,20,Marshawn Lynch(FA),11,41,3.7,10,0,1,2,2,8,4.0,0,0,1,10.9,10.9,0.9%
2018,1,21,Jordan Howard(FA),15,82,5.5,16,0,0,5,5,25,5.0,0,0,1,10.7,10.7,0.0%
2018,1,22,Tevin Coleman(FA),9,19,2.1,9,0,1,1,2,26,26.0,0,0,1,10.5,10.5,0.0%
2018,1,23,Kenneth Dixon(FA),13,44,3.4,15,0,1,0,0,0,0,0,0,1,10.4,10.4,0.1%
2018,1,24,Alfred Blue(FA),5,36,7.2,17,0,1,0,0,0,0,0,0,1,9.6,9.6,0.0%
2018,1,25,Anthony Sherman(FA),0,0,0,0,0,0,1,1,36,36.0,1,0,1,9.6,9.6,1.2%
2018,1,26,Javorius Allen(FA),4,17,4.3,8,0,1,5,6,15,3.0,0,0,1,9.2,9.2,0.6%
2018,1,27,Jalen Richard(FA),5,24,4.8,9,0,0,9,11,55,6.1,0,0,1,7.9,7.9,1.0%
2018,1,28,Dalvin Cook(FA),16,40,2.5,15,0,0,6,7,55,9.2,0,1,1,7.5,7.5,0.6%
2018,1,29,Christian McCaffrey(SF),10,50,5.0,15,0,0,6,9,45,7.5,0,1,1,7.5,7.5,98.5%
2018,1,30,Royce Freeman(FA),15,71,4.7,17,0,0,0,0,0,0,0,0,1,7.1,7.1,0.0%
2018,1,31,Peyton Barber(FA),19,69,3.6,23,1,0,0,0,0,0,0,0,1,6.9,6.9,1.0%
2018,1,32,Rex Burkhead(FA),18,64,3.6,12,0,0,1,3,5,5.0,0,0,1,6.9,6.9,10.0%
2018,1,33,Kenyan Drake(FA),14,48,3.4,16,0,0,3,4,18,6.0,0,0,1,6.6,6.6,1.1%
2018,1,34,Bilal Powell(FA),12,60,5.0,14,0,0,1,2,5,5.0,0,0,1,6.5,6.5,0.0%
2018,1,35,Frank Gore(FA),9,61,6.8,21,1,0,0,0,0,0,0,0,1,6.1,6.1,8.4%
2018,1,36,Jordan Wilkins(FA),14,40,2.9,12,0,0,3,3,21,7.0,0,0,1,6.1,6.1,0.0%
2018,1,37,Alex Armah Jr.(FA),1,1,1.0,1,0,1,0,0,0,0,0,0,1,6.1,6.1,0.0%
2018,1,38,Chris Carson(FA),7,51,7.3,24,1,0,3,5,28,9.3,0,1,1,5.9,5.9,0.3%
2018,1,39,Alex Collins(FA),7,13,1.9,8,0,1,1,1,6,6.0,0,1,1,5.9,5.9,19.0%
2018,1,40,Kyle Juszczyk(SF),0,0,0,0,0,0,1,2,56,56.0,0,0,1,5.6,5.6,1.4%
2018,1,41,Leonard Fournette(FA),9,41,4.6,12,0,0,3,3,14,4.7,0,0,1,5.5,5.5,0.0%
2018,1,42,Nyheim Hines(FA),5,19,3.8,6,0,0,7,9,33,4.7,0,0,1,5.2,5.2,0.1%
2018,1,43,Matt Breida(FA),11,46,4.2,11,0,0,1,2,5,5.0,0,0,1,5.1,5.1,0.0%
2018,1,44,Devonta Freeman(FA),6,36,6.0,20,1,0,3,5,14,4.7,0,0,1,5.0,5.0,0.0%
2018,1,45,Kareem Hunt(KC),16,49,3.1,13,0,0,0,1,0,0,0,0,1,4.9,4.9,29.9%
2018,1,46,Chase Edmonds(FA),4,24,6.0,9,0,0,4,4,24,6.0,0,0,1,4.8,4.8,0.0%
2018,1,47,Jamaal Williams(FA),15,46,3.1,11,0,0,0,2,0,0,0,0,1,4.6,4.6,1.1%
2018,1,48,Rashaad Penny(FA),7,8,1.1,5,0,0,4,5,35,8.8,0,0,1,4.3,4.3,0.0%
2018,1,49,Latavius Murray(FA),11,42,3.8,9,0,0,0,0,0,0,0,0,1,4.2,4.2,0.0%
2018,1,50,Tarik Cohen(FA),5,25,5.0,11,0,0,3,4,16,5.3,0,0,1,4.1,4.1,0.0%
2018,1,51,Spencer Ware(FA),3,32,10.7,27,1,0,1,1,8,8.0,0,0,1,4.0,4.0,0.0%
2018,1,52,Kerryon Johnson(FA),5,17,3.4,9,0,0,3,3,20,6.7,0,0,1,3.7,3.7,1.0%
2018,1,53,C.J. Anderson(FA),7,35,5.0,9,0,0,0,0,0,0,0,0,1,3.5,3.5,1.0%
2018,1,54,Theo Riddick(FA),4,20,5.0,6,0,0,5,7,15,3.0,0,0,1,3.5,3.5,0.0%
2018,1,55,Darren Sproles(FA),5,10,2.0,5,0,0,4,7,22,5.5,0,0,1,3.2,3.2,0.1%
2018,1,56,Marcus Murphy(FA),6,31,5.2,9,0,0,0,2,0,0,0,0,1,3.1,3.1,0.0%
