year,week,Rank,Player,Rush_ATT,Rush_YDS,Rush_Y/A,LG,20+,Rush_TD,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,Rec_TD,FL,G,FPTS,FPTS/G,ROST
2019,1,1,Austin Ekeler(WAS),12,58,4.8,19,0,1,6,7,96,16.0,2,0,1,33.4,33.4,69.0%
2019,1,2,Christian McCaffrey(SF),19,128,6.7,23,1,2,10,11,81,8.1,0,0,1,32.9,32.9,98.5%
2019,1,3,Derrick Henry(BAL),19,84,4.4,18,0,1,1,2,75,75.0,1,0,1,27.9,27.9,98.7%
2019,1,4,Marlon Mack(FA),25,174,7.0,63,2,1,0,0,0,0,0,0,1,25.4,25.4,0.0%
2019,1,5,Dalvin Cook(FA),21,111,5.3,22,2,2,2,2,9,4.5,0,0,1,24.0,24.0,0.6%
2019,1,6,Josh Jacobs(GB),23,85,3.7,13,0,2,1,1,28,28.0,0,0,1,23.3,23.3,98.5%
2019,1,7,Mark Ingram II(FA),14,107,7.6,49,1,2,0,0,0,0,0,0,1,22.7,22.7,0.6%
2019,1,8,David Johnson(FA),18,82,4.6,18,0,0,6,7,55,9.2,1,0,1,19.7,19.7,0.0%
2019,1,9,Chris Carson(FA),15,46,3.1,21,1,1,6,7,34,5.7,1,1,1,18.0,18.0,0.3%
2019,1,10,Malcolm Brown(FA),11,53,4.8,17,0,2,0,0,0,0,0,0,1,17.3,17.3,0.0%
2019,1,11,Le'Veon Bell(FA),17,60,3.5,12,0,0,6,9,32,5.3,1,0,1,17.2,17.2,0.2%
2019,1,12,Alvin Kamara(NO),13,97,7.5,28,2,0,7,8,72,10.3,0,0,1,16.9,16.9,95.0%
2019,1,13,Saquon Barkley(PHI),11,120,10.9,59,1,0,4,6,19,4.8,0,0,1,13.9,13.9,99.0%
2019,1,14,Damien Williams(FA),13,26,2.0,6,0,1,6,6,39,6.5,0,0,1,12.5,12.5,0.0%
2019,1,15,Ezekiel Elliott(FA),13,53,4.1,10,0,1,1,2,10,10.0,0,0,1,12.3,12.3,5.1%
2019,1,16,Latavius Murray(FA),6,43,7.2,30,1,1,2,3,4,2.0,0,0,1,10.7,10.7,0.0%
2019,1,17,Wayne Gallman Jr.(FA),2,17,8.5,15,0,1,3,3,24,8.0,0,0,1,10.1,10.1,0.0%
2019,1,18,Todd Gurley II(FA),14,97,6.9,25,1,0,1,1,4,4.0,0,0,1,10.1,10.1,0.6%
2019,1,19,Devin Singletary(NYG),4,70,17.5,23,2,0,5,6,28,5.6,0,0,1,9.8,9.8,7.7%
2019,1,20,LeSean McCoy(FA),10,81,8.1,31,1,0,1,1,12,12.0,0,0,1,9.3,9.3,2.0%
2019,1,21,Ronald Jones II(FA),13,75,5.8,16,0,0,1,1,18,18.0,0,0,1,9.3,9.3,0.0%
2019,1,22,Duke Johnson Jr.(FA),9,57,6.3,32,1,0,4,5,33,8.3,0,0,1,9.0,9.0,0.0%
2019,1,23,Nick Chubb(HOU),17,75,4.4,15,0,0,3,4,10,3.3,0,0,1,8.5,8.5,39.7%
2019,1,24,Carlos Hyde(FA),10,83,8.3,20,1,0,1,1,2,2.0,0,0,1,8.5,8.5,0.0%
2019,1,25,Rex Burkhead(FA),8,44,5.5,11,0,0,5,8,41,8.2,0,0,1,8.5,8.5,10.0%
