year,week,Rank,Player,Rush_ATT,Rush_YDS,Rush_Y/A,LG,20+,Rush_TD,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,Rec_TD,FL,G,FPTS,FPTS/G,ROST
2023,1,1,Aaron Jones Sr.(MIN),9,41,4.6,9,0,1,2,4,86,43.0,1,0,1,24.7,24.7,90.4%
2023,1,2,Christian McCaffrey(SF),22,152,6.9,65,1,1,3,5,17,5.7,0,0,1,22.9,22.9,98.5%
2023,1,3,Austin Ekeler(WAS),16,117,7.3,55,1,1,4,5,47,11.8,0,0,1,22.4,22.4,69.0%
2023,1,4,Tyler Allgeier(ATL),15,75,5.0,22,1,2,3,3,19,6.3,0,0,1,21.4,21.4,49.5%
2023,1,5,Tony Pollard(TEN),14,70,5.0,25,1,2,2,3,12,6.0,0,0,1,20.2,20.2,88.9%
2023,1,6,Kyren Williams(LAR),15,52,3.5,9,0,2,0,2,2,0,0,0,1,17.4,17.4,97.7%
2023,1,7,Travis Etienne Jr.(JAC),18,77,4.3,26,1,1,5,5,27,5.4,0,0,1,16.4,16.4,84.2%
2023,1,8,Joshua Kelley(FA),16,91,5.7,14,0,1,0,1,0,0,0,0,1,15.1,15.1,0.0%
2023,1,9,Breece Hall(NYJ),10,127,12.7,83,2,0,1,2,20,20.0,0,0,1,14.7,14.7,96.7%
2023,1,10,Bijan Robinson(ATL),10,56,5.6,21,1,0,6,6,27,4.5,1,0,1,14.3,14.3,98.7%
2023,1,11,David Montgomery(DET),21,74,3.5,8,0,1,0,0,0,0,0,0,1,13.4,13.4,94.0%
2023,1,12,Justice Hill(BAL),8,9,1.1,4,0,2,0,0,0,0,0,0,1,12.9,12.9,21.4%
2023,1,13,Nick Chubb(HOU),18,106,5.9,17,0,0,4,4,21,5.3,0,0,1,12.7,12.7,39.7%
2023,1,14,Brian Robinson Jr.(WAS),19,59,3.1,7,0,0,1,2,7,7.0,1,0,1,12.6,12.6,87.3%
2023,1,15,Derrick Henry(BAL),15,63,4.2,18,0,0,2,3,56,28.0,0,0,1,11.9,11.9,98.7%
2023,1,16,Roschon Johnson(CHI),5,20,4.0,11,0,1,6,7,35,5.8,0,0,1,11.5,11.5,28.5%
2023,1,17,Raheem Mostert(LV),10,37,3.7,12,0,1,2,2,13,6.5,0,0,1,11.0,11.0,15.3%
2023,1,18,Alexander Mattison(MIA),11,34,3.1,9,0,0,3,4,10,3.3,1,0,1,10.4,10.4,8.8%
2023,1,19,J.K. Dobbins(DEN),8,22,2.8,4,0,1,2,3,15,7.5,0,0,1,9.7,9.7,66.0%
2023,1,20,Rhamondre Stevenson(NE),12,25,2.1,10,0,0,6,6,64,10.7,0,0,1,8.9,8.9,82.7%
2023,1,21,Cam Akers(NO),22,29,1.3,12,0,1,0,0,0,0,0,0,1,8.9,8.9,2.9%
2023,1,22,Khalil Herbert(IND),9,27,3.0,12,0,0,3,5,37,12.3,0,0,1,8.4,8.4,6.4%
2023,1,23,Miles Sanders(DAL),18,72,4.0,10,0,0,4,6,26,6.5,0,1,1,7.8,7.8,12.7%
2023,1,24,Samaje Perine(CIN),8,41,5.1,12,0,0,4,4,37,9.3,0,0,1,7.8,7.8,3.6%
2023,1,25,Kenneth Gainwell(PIT),14,54,3.9,16,0,0,4,4,20,5.0,0,0,1,7.4,7.4,3.9%
2023,1,26,Joe Mixon(HOU),13,56,4.3,22,1,0,3,5,17,5.7,0,0,1,7.3,7.3,96.6%
2023,1,27,Josh Jacobs(GB),19,48,2.5,7,0,0,2,3,23,11.5,0,0,1,7.1,7.1,98.5%
2023,1,28,James Conner(ARI),14,62,4.4,12,0,0,5,5,8,1.6,0,0,1,7.0,7.0,93.3%
2023,1,29,Chuba Hubbard(CAR),9,60,6.7,21,1,0,2,2,9,4.5,0,0,1,6.9,6.9,95.0%
2023,1,30,Kenneth Walker III(SEA),12,64,5.3,15,0,0,4,5,3,0.8,0,0,1,6.7,6.7,94.5%
2023,1,31,James Cook(BUF),12,46,3.8,13,0,0,4,6,17,4.3,0,0,1,6.3,6.3,97.7%
2023,1,32,Saquon Barkley(PHI),12,51,4.3,18,0,0,3,4,12,4.0,0,0,1,6.3,6.3,99.0%
2023,1,33,Jahmyr Gibbs(DET),7,42,6.0,18,0,0,2,2,18,9.0,0,0,1,6.0,6.0,99.0%
2023,1,34,Dalvin Cook(FA),13,33,2.5,10,0,0,3,3,26,8.7,0,0,1,5.9,5.9,0.6%
2023,1,35,Javonte Williams(DAL),13,52,4.0,11,0,0,4,6,5,1.3,0,0,1,5.7,5.7,79.3%
2023,1,36,Isiah Pacheco(KC),8,23,2.9,7,0,0,4,4,31,7.8,0,0,1,5.4,5.4,90.9%
2023,1,37,Tank Bigsby(JAC),7,13,1.9,4,0,1,0,1,0,0,0,1,1,5.3,5.3,73.7%
2023,1,38,Gus Edwards(FA),8,32,4.0,13,0,0,0,0,0,0,0,0,1,5.2,5.2,2.4%
2023,1,39,Jamaal Williams(FA),18,45,2.5,11,0,0,2,2,7,3.5,0,0,1,5.2,5.2,1.1%
2023,1,40,Rachaad White(TB),17,39,2.3,6,0,0,2,2,10,5.0,0,0,1,4.9,4.9,73.8%
2023,1,41,Dameon Pierce(HOU),11,38,3.5,7,0,0,2,3,9,4.5,0,0,1,4.7,4.7,10.0%
2023,1,42,A.J. Dillon(PHI),13,19,1.5,7,0,0,2,3,17,8.5,0,0,1,3.6,3.6,5.6%
2023,1,43,Alec Ingold(MIA),0,0,0,0,0,0,2,2,34,17.0,0,0,1,3.4,3.4,0.7%
2023,1,44,Najee Harris(LAC),6,31,5.2,24,1,0,2,2,2,1.0,0,0,1,3.3,3.3,83.5%
2023,1,45,Clyde Edwards-Helaire(NO),6,22,3.7,5,0,0,1,1,7,7.0,0,0,1,2.9,2.9,3.2%
2023,1,46,Tyjae Spears(TEN),3,27,9.0,17,0,0,1,4,1,1.0,0,0,1,2.8,2.8,69.8%
2023,1,47,D'Onta Foreman(FA),5,16,3.2,11,0,0,2,3,8,4.0,0,0,1,2.4,2.4,2.7%
2023,1,48,Sean Tucker(TB),5,15,3.0,5,0,0,2,2,9,4.5,0,0,1,2.4,2.4,8.2%
2023,1,49,Rico Dowdle(CAR),6,24,4.0,10,0,0,0,0,0,0,0,0,1,2.4,2.4,40.6%
2023,1,50,Ezekiel Elliott(FA),7,29,4.1,11,0,0,5,7,14,2.8,0,1,1,2.3,2.3,5.1%
2023,1,51,Patrick Taylor Jr.(SF),5,22,4.4,10,0,0,0,0,0,0,0,0,1,2.2,2.2,0.8%
2023,1,52,Jake Funk(FA),2,10,5.0,7,0,0,1,1,12,12.0,0,0,1,2.2,2.2,0.0%
2023,1,53,Damien Harris(FA),1,3,3.0,3,0,0,2,2,16,8.0,0,0,1,1.9,1.9,4.6%
2023,1,54,DeeJay Dallas(ARI),2,4,2.0,5,0,0,1,1,14,14.0,0,0,1,1.8,1.8,0.1%
2023,1,55,Michael Carter(ARI),1,6,6.0,6,0,0,2,2,12,6.0,0,0,1,1.8,1.8,0.9%
2023,1,56,Mike Boone(FA),0,0,0,0,0,0,3,4,18,6.0,0,0,1,1.8,1.8,1.0%
