year,week,Rank,Player,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,LG,20+Rec_TD,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST
2018,1,1,Tyreek Hill(MIA),7,8,169,24.1,58,5,2,2,4,0,0,1,29.3,29.3
2018,1,2,DeSean Jackson(FA),5,5,146,29.2,58,3,2,0,0,0,0,1,26.6,26.6
2018,1,3,Kenny Stills(FA),4,5,106,26.5,75,1,2,0,0,0,0,1,22.6,22.6
2018,1,4,Michael Thomas(FA),16,17,180,11.3,35,2,1,0,0,0,1,1,22.0,22.0
2018,1,5,Mike Evans(TB),7,7,147,21.0,50,3,1,0,0,0,0,1,20.7,20.7
2018,1,6,Randall Cobb(FA),9,10,142,15.8,75,2,1,0,0,0,0,1,20.2,20.2
2018,1,7,Emmanuel Sanders(FA),10,11,135,13.5,43,2,1,0,0,0,0,1,19.5,19.5
2018,1,8,Julio Jones(FA),10,19,169,16.9,36,3,0,1,11,0,0,1,18.0,18.0
2018,1,9,Keenan Allen(FA),8,11,108,13.5,23,3,1,0,0,0,0,1,16.8,16.8
2018,1,10,Antonio Brown(FA),9,16,93,10.3,22,1,1,0,0,0,0,1,15.3,15.3
2018,1,11,Ted Ginn Jr.(FA),5,6,68,13.6,28,1,1,1,5,0,0,1,15.3,15.3
2018,1,12,Davante Adams(LAR),5,8,88,17.6,51,1,1,0,0,0,0,1,14.8,14.8
2018,1,13,Golden Tate(FA),7,15,79,11.3,26,2,1,0,0,0,0,1,13.9,13.9
2018,1,14,A.J. Green(FA),6,8,92,15.3,38,1,1,0,0,0,1,1,13.2,13.2
2018,1,15,Geronimo Allison(FA),5,8,69,13.8,39,1,1,0,0,0,0,1,12.9,12.9
2018,1,16,Cooper Kupp(SEA),5,9,52,10.4,12,0,1,2,16,0,0,1,12.8,12.8
2018,1,17,Phillip Dorsett II(FA),7,7,66,9.4,14,0,1,0,0,0,0,1,12.6,12.6
2018,1,18,Quincy Enunwa(FA),6,9,63,10.5,21,1,1,0,0,0,0,1,12.3,12.3
