year,week,Rank,Player,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,LG,20+Rec_TD,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST
2021,1,1,Tyreek Hill(MIA),11,15,197,17.9,75,4,1,1,4,0,0,1,26.1,26.1
2021,1,2,Amari Cooper(FA),13,17,139,10.7,28,2,2,0,0,0,0,1,25.9,25.9
2021,1,3,Deebo Samuel Sr.(WAS),9,12,189,21.0,79,3,1,0,0,0,1,1,22.9,22.9
2021,1,4,Tyler Lockett(TEN),4,5,100,25.0,69,2,2,0,0,0,0,1,22.0,22.0
2021,1,5,Corey Davis(FA),5,7,97,19.4,35,3,2,0,0,0,0,1,21.7,21.7
2021,1,6,Adam Thielen(CAR),9,10,92,10.2,24,2,2,0,0,0,0,1,21.2,21.2
2021,1,7,DeAndre Hopkins(BAL),6,8,83,13.8,38,1,2,0,0,0,0,1,20.3,20.3
2021,1,8,Christian Kirk(HOU),5,5,70,14.0,26,2,2,0,0,0,0,1,19.0,19.0
2021,1,9,Antonio Brown(FA),5,7,121,24.2,47,3,1,1,6,0,0,1,18.7,18.7
2021,1,10,Sterling Shepard(TB),7,9,113,16.1,37,2,1,0,0,0,0,1,17.3,17.3
2021,1,11,Cooper Kupp(SEA),7,10,108,15.4,56,1,1,0,0,0,0,1,16.8,16.8
2021,1,12,CeeDee Lamb(DAL),7,15,104,14.9,31,3,1,0,0,0,0,1,16.4,16.4
2021,1,13,Zach Pascal(NYG),4,5,43,10.8,16,0,2,0,0,0,0,1,16.3,16.3
2021,1,14,Ja'Marr Chase(CIN),5,7,101,20.2,50,1,1,1,-2,0,0,1,15.9,15.9
2021,1,15,DJ Chark Jr.(FA),3,12,86,28.7,41,2,1,0,0,0,0,1,14.6,14.6
2021,1,16,Chris Godwin(TB),9,13,105,11.7,24,1,1,0,0,0,1,1,14.5,14.5
2021,1,17,Jarvis Landry(FA),5,5,71,14.2,32,1,0,2,13,1,0,1,14.4,14.4
2021,1,18,Mike Williams(LAC),8,12,82,10.3,20,1,1,0,0,0,0,1,14.2,14.2
2021,1,19,Van Jefferson(TEN),2,3,80,40.0,67,1,1,0,0,0,0,1,14.0,14.0
2021,1,20,Marvin Jones Jr.(FA),5,9,77,15.4,33,1,1,0,0,0,0,1,13.7,13.7
2021,1,21,Marquise Brown(KC),6,6,69,11.5,29,1,1,1,5,0,0,1,13.4,13.4
2021,1,22,Brandin Cooks(NO),5,7,132,26.4,52,3,0,0,0,0,0,1,13.2,13.2
2021,1,23,Nelson Agholor(FA),5,7,72,14.4,25,2,1,0,0,0,0,1,13.2,13.2
