year,week,Rank,Player,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,LG,20+Rec_TD,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST
2020,1,1,Davante Adams(LAR),14,17,156,11.1,40,2,2,0,0,0,0,1,27.6,27.6
2020,1,2,Adam Thielen(CAR),6,8,110,18.3,37,2,2,0,0,0,0,1,25.0,25.0
2020,1,3,Calvin Ridley(TEN),9,12,130,14.4,22,1,2,1,-1,0,0,1,24.9,24.9
2020,1,4,Darius Slayton(NYG),6,9,102,17.0,41,1,2,0,0,0,0,1,22.2,22.2
2020,1,5,Robbie Chosen(FA),6,8,114,19.0,75,1,1,0,0,0,0,1,19.4,19.4
2020,1,6,JuJu Smith-Schuster(KC),6,6,69,11.5,17,0,2,0,0,0,0,1,18.9,18.9
2020,1,7,Jamison Crowder(FA),7,13,115,16.4,69,2,1,0,0,0,0,1,17.5,17.5
2020,1,8,Julio Jones(FA),9,12,157,17.4,44,2,0,0,0,0,0,1,15.7,15.7
2020,1,9,Marquez Valdes-Scantling(SEA),4,6,96,24.0,45,2,1,0,0,0,0,1,15.6,15.6
2020,1,10,DK Metcalf(PIT),4,8,95,23.8,38,2,1,0,0,0,0,1,15.5,15.5
2020,1,11,DeAndre Hopkins(BAL),14,16,151,10.8,33,1,0,0,0,0,0,1,15.1,15.1
2020,1,12,Sammy Watkins(FA),7,9,82,11.7,19,0,1,1,3,0,0,1,14.5,14.5
2020,1,13,Allen Lazard(NYJ),4,4,63,15.8,38,1,1,1,19,0,0,1,14.2,14.2
2020,1,14,Anthony Miller(BAL),4,6,76,19.0,27,1,1,0,0,0,0,1,13.6,13.6
2020,1,15,John Brown(FA),6,10,70,11.7,20,1,1,0,0,0,0,1,13.0,13.0
2020,1,16,Willie Snead IV(FA),4,4,64,16.0,20,1,1,0,0,0,0,1,12.4,12.4
2020,1,17,Robert Woods(PIT),6,8,105,17.5,31,3,0,1,14,0,0,1,11.9,11.9
2020,1,18,Russell Gage Jr.(SF),9,12,114,12.7,24,1,0,0,0,0,0,1,11.4,11.4
2020,1,19,William Fuller V(FA),8,10,112,14.0,31,2,0,0,0,0,0,1,11.2,11.2
2020,1,20,Keelan Cole Sr.(FA),5,5,47,9.4,22,1,1,0,0,0,0,1,10.7,10.7
2020,1,21,Laviska Shenault Jr.(BUF),3,4,37,12.3,18,0,1,2,10,0,0,1,10.7,10.7
