year,week,Rank,Player,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,LG,20+Rec_TD,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST
2022,1,1,Travis Kelce(KC),8,9,121,15.1,35,2,1,0,0,0,0,1,18.1,18.1
2022,1,2,O.J. Howard(FA),2,2,38,19.0,22,1,2,0,0,0,0,1,15.8,15.8
2022,1,3,Taysom Hill(NO),1,1,2,2.0,2,0,0,4,81,1,0,1,14.3,14.3
2022,1,4,Gerald Everett(FA),3,4,54,18.0,25,1,1,0,0,0,0,1,11.4,11.4
2022,1,5,Will Dissly(LAC),3,3,43,14.3,38,1,1,0,0,0,0,1,10.3,10.3
2022,1,6,Colby Parkinson(LAR),2,2,43,21.5,25,1,1,0,0,0,0,1,10.3,10.3
2022,1,7,Zach Ertz(WAS),2,4,14,7.0,8,0,1,0,0,0,0,1,9.4,9.4
2022,1,8,Darren Waller(MIA),4,6,79,19.8,31,2,0,0,0,0,0,1,7.9,7.9
2022,1,9,Tyler Conklin(LAC),4,7,16,4.0,6,0,1,0,0,0,0,1,7.6,7.6
2022,1,10,Pat Freiermuth(PIT),5,10,75,15.0,31,2,0,0,0,0,0,1,7.5,7.5
2022,1,11,Dalton Schultz(HOU),7,9,62,8.9,14,0,0,0,0,0,0,1,6.2,6.2
2022,1,12,Chris Myarick(FA),1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1
2022,1,13,Jody Fortson Jr.(FA),1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1
2022,1,14,Dallas Goedert(PHI),3,4,60,20.0,27,2,0,0,0,0,0,1,6.0,6.0
2022,1,15,Ian Thomas(LV),2,3,53,26.5,50,1,0,0,0,0,0,1,5.3,5.3
2022,1,16,Andrew Beck(NYJ),2,3,52,26.0,27,2,0,0,0,0,0,1,5.2,5.2
2022,1,17,Mark Andrews(BAL),5,7,52,10.4,17,0,0,0,0,0,0,1,5.2,5.2
2022,1,18,Hayden Hurst(FA),5,8,46,9.2,20,1,0,0,0,0,0,1,4.6,4.6
2022,1,19,Logan Thomas(FA),3,6,45,15.0,27,1,0,0,0,0,0,1,4.5,4.5
2022,1,20,Juwan Johnson(NO),2,5,43,21.5,26,1,0,0,0,0,0,1,4.3,4.3
2022,1,21,Zach Gentry(FA),2,2,40,20.0,32,1,0,0,0,0,0,1,4.0,4.0
2022,1,22,Tyler Higbee(LAR),5,11,39,7.8,11,0,0,0,0,0,0,1,3.9,3.9
2022,1,23,T.J. Hockenson(MIN),4,7,38,9.5,16,0,0,0,0,0,0,1,3.8,3.8
2022,1,24,Robert Tonyan(KC),3,5,36,12.0,23,1,0,0,0,0,0,1,3.6,3.6
2022,1,25,Jonnu Smith(PIT),3,4,33,11.0,15,0,0,0,0,0,0,1,3.3,3.3
2022,1,26,Albert Okwuegbunam Jr.(IND),5,6,33,6.6,12,0,0,0,0,0,0,1,3.3,3.3
2022,1,27,Evan Engram(DEN),4,4,28,7.0,11,0,0,0,0,0,0,1,2.8,2.8
2022,1,28,Josiah Deguara(ARI),2,2,28,14.0,15,0,0,0,0,0,0,1,2.8,2.8
2022,1,29,Mo Alie-Cox(IND),2,2,26,13.0,13,0,0,0,0,0,0,1,2.6,2.6
2022,1,30,Tre' McKitty(FA),3,4,24,8.0,12,0,0,0,0,0,0,1,2.4,2.4
2022,1,31,Armani Rogers(FA),1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3
2022,1,32,Kylen Granson(PHI),3,7,22,7.3,12,0,0,0,0,0,0,1,2.2,2.2
2022,1,33,Hunter Henry(NE),2,3,20,10.0,11,0,0,0,0,0,0,1,2.0,2.0
2022,1,34,Kyle Pitts(ATL),2,7,19,9.5,11,0,0,0,0,0,0,1,1.9,1.9
2022,1,35,Geoff Swaim(FA),3,4,19,6.3,9,0,0,0,0,0,0,1,1.9,1.9
2022,1,36,Harrison Bryant(PHI),2,4,18,9.0,10,0,0,0,0,0,0,1,1.8,1.8
2022,1,37,Pharaoh Brown(MIA),1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7
2022,1,38,Johnny Mundt(JAC),3,3,17,5.7,12,0,0,0,0,0,0,1,1.7,1.7
2022,1,39,Noah Fant(SEA),3,4,16,5.3,13,0,0,0,0,0,0,1,1.6,1.6
2022,1,40,Durham Smythe(CHI),1,2,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4
2022,1,41,Ross Dwelley(SF),1,2,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1
2022,1,42,Noah Gray(KC),1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0
2022,1,43,Tyler Kroft(FA),1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9
2022,1,44,David Njoku(CLE),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7
2022,1,45,Chig Okonkwo(TEN),1,1,11,11.0,11,0,0,1,-4,0,0,1,0.7,0.7
2022,1,46,Cameron Brate(FA),1,3,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7
2022,1,47,Austin Hooper(NE),1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6
2022,1,48,Anthony Firkser(FA),1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6
2022,1,49,Parker Hesse(FA),1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5
2022,1,50,Dawson Knox(BUF),1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5
2022,1,51,Brevin Jordan(HOU),1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5
2022,1,52,Tyler Davis(FA),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3
2022,1,53,Drew Sample(CIN),1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2
2022,1,54,Ben Ellefson(FA),1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2
2022,1,55,Tommy Tremble(CAR),1,1,1,1.0,1,0,0,0,0,0,0,1,0.1,0.1
2022,1,56,Mike Gesicki(CIN),1,1,1,1.0,1,0,0,0,0,0,0,1,0.1,0.1
2022,1,57,John Bates(WAS),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,58,Jake Ferguson(DAL),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,59,Cole Kmet(CHI),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,60,Noah Togiai(FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,61,Lawrence Cager(WAS),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,62,Giovanni Ricci(MIN),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,63,Isaiah Likely(BAL),0,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,64,Shane Zylstra(DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,65,Jelani Woods(IND),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,66,Daniel Bellinger(NYG),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,67,Cade Otton(TB),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,68,Brock Wright(DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,69,Connor Heyward(PIT),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,70,Ko Kieft(TB),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,71,Richard Rodgers(FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,72,Ryan Griffin(FA),0,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,73,Eric Saubert(SEA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,74,Irv Smith Jr.(HOU),0,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,75,Stephen Anderson(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,1,76,Eric Tomlinson(FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,1,Mark Andrews(BAL),9,11,104,11.6,25,1,1,1,3,0,0,1,16.7,16.7
2022,2,2,Darren Waller(MIA),6,8,50,8.3,19,0,1,0,0,0,0,1,11.0,11.0
2022,2,3,Mike Gesicki(CIN),4,4,41,10.3,14,0,1,0,0,0,0,1,10.1,10.1
2022,2,4,Ross Dwelley(SF),1,1,38,38.0,38,1,1,0,0,0,0,1,9.8,9.8
2022,2,5,Logan Thomas(FA),3,5,37,12.3,20,1,1,0,0,0,0,1,9.7,9.7
2022,2,6,Irv Smith Jr.(HOU),5,8,36,7.2,15,0,1,0,0,0,0,1,9.6,9.6
2022,2,7,Pat Freiermuth(PIT),4,7,22,5.5,8,0,1,0,0,0,0,1,8.2,8.2
2022,2,8,Eric Saubert(SEA),1,2,22,22.0,22,1,1,0,0,0,0,1,8.2,8.2
2022,2,9,Dallas Goedert(PHI),5,6,82,16.4,24,1,0,0,0,0,0,1,8.2,8.2
2022,2,10,Daniel Bellinger(NYG),1,1,16,16.0,16,0,1,0,0,0,0,1,7.6,7.6
2022,2,11,Zach Ertz(WAS),8,11,75,9.4,16,0,0,0,0,0,0,1,7.5,7.5
2022,2,12,Gerald Everett(FA),6,10,71,11.8,26,1,0,0,0,0,0,1,7.1,7.1
2022,2,13,Tyler Higbee(LAR),7,9,71,10.1,18,0,0,0,0,0,0,1,7.1,7.1
2022,2,14,Travis Kelce(KC),5,7,51,10.2,19,0,0,0,0,0,0,1,5.1,5.1
2022,2,15,Evan Engram(DEN),7,8,46,6.6,12,0,0,0,0,0,0,1,4.6,4.6
2022,2,16,Harrison Bryant(PHI),3,4,45,15.0,30,1,0,0,0,0,0,1,4.5,4.5
2022,2,17,Isaiah Likely(BAL),4,5,43,10.8,34,1,0,0,0,0,0,1,4.3,4.3
2022,2,18,Dawson Knox(BUF),4,5,41,10.3,15,0,0,0,0,0,0,1,4.1,4.1
2022,2,19,Tyler Conklin(LAC),6,9,40,6.7,13,0,0,0,0,0,0,1,4.0,4.0
2022,2,20,Juwan Johnson(NO),4,7,40,10.0,22,1,0,0,0,0,0,1,4.0,4.0
2022,2,21,David Njoku(CLE),3,5,32,10.7,15,0,0,0,0,0,0,1,3.2,3.2
2022,2,22,Foster Moreau(NO),3,4,30,10.0,19,0,0,0,0,0,0,1,3.0,3.0
2022,2,23,Johnny Mundt(JAC),2,3,28,14.0,17,0,0,0,0,0,0,1,2.8,2.8
2022,2,24,T.J. Hockenson(MIN),3,7,26,8.7,18,0,0,0,0,0,0,1,2.6,2.6
2022,2,25,Brock Wright(DET),1,1,25,25.0,25,1,0,0,0,0,0,1,2.5,2.5
2022,2,26,Hayden Hurst(FA),5,7,24,4.8,8,0,0,0,0,0,0,1,2.4,2.4
2022,2,27,Pharaoh Brown(MIA),3,5,24,8.0,18,0,0,0,0,0,0,1,2.4,2.4
2022,2,28,Tanner Hudson(CIN),2,3,22,11.0,15,0,0,0,0,0,0,1,2.2,2.2
2022,2,29,Kyle Pitts(ATL),2,3,19,9.5,13,0,0,0,0,0,0,1,1.9,1.9
2022,2,30,Austin Hooper(NE),1,5,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9
2022,2,31,Ryan Griffin(FA),1,1,18,18.0,18,0,0,0,0,0,0,1,1.8,1.8
2022,2,32,Giovanni Ricci(MIN),1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6
2022,2,33,John Bates(WAS),2,3,15,7.5,9,0,0,0,0,0,0,1,1.5,1.5
2022,2,34,Taysom Hill(NO),0,0,0,0,0,0,0,3,14,0,0,1,1.4,1.4
2022,2,35,Kylen Granson(PHI),2,2,14,7.0,8,0,0,0,0,0,0,1,1.4,1.4
2022,2,36,Ian Thomas(LV),1,3,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3
2022,2,37,Stephen Sullivan(CAR),1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3
2022,2,38,Noah Gray(KC),2,3,12,6.0,11,0,0,0,0,0,0,1,1.2,1.2
2022,2,39,Robert Tonyan(KC),2,2,11,5.5,9,0,0,0,0,0,0,1,1.1,1.1
2022,2,40,Noah Fant(SEA),2,2,11,5.5,7,0,0,0,0,0,0,1,1.1,1.1
2022,2,41,Cameron Brate(FA),1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9
2022,2,42,Mo Alie-Cox(IND),1,3,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9
2022,2,43,Dan Arnold(FA),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8
2022,2,44,O.J. Howard(FA),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7
2022,2,45,Quintin Morris(JAC),1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6
2022,2,46,Durham Smythe(CHI),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5
2022,2,47,Parker Hesse(FA),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5
2022,2,48,Cade Otton(TB),1,2,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4
2022,2,49,Brevin Jordan(HOU),2,4,3,1.5,4,0,0,0,0,0,0,1,0.3,0.3
2022,2,50,Mitchell Wilcox(FA),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3
2022,2,51,Stephen Anderson(FA),1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2
2022,2,52,Kenny Yeboah(DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,53,Trey McBride(ARI),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,54,Tommy Tremble(CAR),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,55,Jake Ferguson(DAL),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,56,Tyler Davis(FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,57,Jody Fortson Jr.(FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,58,Cole Kmet(CHI),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,59,Chris Myarick(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,60,Jeremy Ruckert(NYJ),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,61,Jelani Woods(IND),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,62,Tanner Conner(MIA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,63,Chig Okonkwo(TEN),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,64,Shane Zylstra(DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,65,Connor Heyward(PIT),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,66,Ko Kieft(TB),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,67,Jonnu Smith(PIT),0,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,68,Albert Okwuegbunam Jr.(IND),0,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,69,Will Dissly(LAC),2,2,0,0.0,2,0,0,0,0,0,0,1,0.0,0.0
2022,2,70,Hunter Henry(NE),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,71,Patrick Scales(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
2022,2,72,Andrew Beck(NYJ),0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1
2022,2,73,Dalton Schultz(HOU),2,4,18,9.0,9,0,0,0,0,0,1,1,-0.2,-0.2
2022,2,74,Drew Sample(CIN),1,1,-4,-4.0,0,0,0,0,0,0,0,1,-0.4,-0.4
2022,3,1,Mark Andrews(BAL),8,13,89,11.1,25,1,2,0,0,0,0,1,20.9,20.9
2022,3,2,David Njoku(CLE),9,10,89,9.9,19,0,1,0,0,0,0,1,14.9,14.9
2022,3,3,Travis Kelce(KC),4,8,58,14.5,29,2,1,1,1,0,0,1,13.9,13.9
2022,3,4,Jelani Woods(IND),2,3,13,6.5,12,0,2,0,0,0,0,1,13.3,13.3
2022,3,5,Will Dissly(LAC),3,3,34,11.3,18,0,1,0,0,0,0,1,9.4,9.4
2022,3,6,Jordan Akins(FA),3,4,31,10.3,25,1,1,0,0,0,0,1,9.1,9.1
2022,3,7,Kyle Pitts(ATL),5,8,87,17.4,28,2,0,0,0,0,0,1,8.7,8.7
2022,3,8,Dallas Goedert(PHI),3,4,26,8.7,23,1,1,0,0,0,0,1,8.6,8.6
2022,3,9,Tyler Conklin(LAC),8,8,84,10.5,21,1,0,0,0,0,0,1,8.4,8.4
2022,3,10,Geoff Swaim(FA),3,3,19,6.3,13,0,1,0,0,0,0,1,7.9,7.9
2022,3,11,T.J. Hockenson(MIN),3,4,18,6.0,7,0,1,0,0,0,0,1,7.8,7.8
