year,week,Rank,Player,Rec_REC,Rec_TGT,Rec_YDS,Rec_Y/R,LG,20+Rec_TD,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST
2020,1,1,Mark Andrews(BAL),5,6,58,11.6,21,1,2,0,0,0,0,1,17.8,17.8
2020,1,2,Dallas Goedert(PHI),8,9,101,12.6,34,2,1,0,0,0,0,1,16.1,16.1
2020,1,3,Noah Fant(SEA),5,6,81,16.2,31,1,1,0,0,0,0,1,14.1,14.1
2020,1,4,T.J. Hockenson(MIN),5,5,56,11.2,24,1,1,0,0,0,0,1,11.6,11.6
2020,1,5,Travis Kelce(KC),6,6,50,8.3,15,0,1,0,0,0,0,1,11.0,11.0
2020,1,6,David Njoku(CLE),3,3,50,16.7,28,2,1,0,0,0,0,1,11.0,11.0
2020,1,7,Jordan Akins(FA),2,2,39,19.5,20,1,1,0,0,0,0,1,9.9,9.9
2020,1,8,Logan Thomas(FA),4,8,37,9.3,19,0,1,0,0,0,0,1,9.7,9.7
2020,1,9,O.J. Howard(FA),4,6,36,9.0,15,0,1,0,0,0,0,1,9.6,9.6
2020,1,10,Jonnu Smith(PIT),4,7,36,9.0,22,1,1,0,0,0,0,1,9.6,9.6
2020,1,11,Jimmy Graham(FA),3,7,25,8.3,16,0,1,0,0,0,0,1,8.5,8.5
2020,1,12,Greg Olsen(FA),4,4,24,6.0,9,0,1,0,0,0,0,1,8.4,8.4
2020,1,13,Jared Cook(FA),5,7,80,16.0,46,1,0,0,0,0,0,1,8.0,8.0
2020,1,14,Zach Ertz(WAS),3,7,18,6.0,7,0,1,0,0,0,0,1,7.8,7.8
2020,1,15,Hunter Henry(NE),5,8,73,14.6,33,2,0,0,0,0,0,1,7.3,7.3
2020,1,16,MyCole Pruitt(FA),1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1
2020,1,17,George Kittle(SF),4,5,44,11.0,14,0,0,1,9,0,0,1,5.3,5.3
2020,1,18,Jack Doyle(FA),3,4,49,16.3,28,1,0,0,0,0,0,1,4.9,4.9
2020,1,19,Darren Waller(MIA),6,8,45,7.5,8,0,0,0,0,0,0,1,4.5,4.5
2020,1,20,C.J. Uzomah(FA),4,5,45,11.3,19,0,0,0,0,0,0,1,4.5,4.5
2020,1,21,Tyler Higbee(LAR),3,4,40,13.3,21,1,0,0,0,0,0,1,4.0,4.0
2020,1,22,Hayden Hurst(FA),3,5,38,12.7,27,1,0,0,0,0,0,1,3.8,3.8
2020,1,23,Mike Gesicki(CIN),3,5,30,10.0,18,0,0,0,0,0,0,1,3.0,3.0
2020,1,24,Kyle Rudolph(FA),2,2,28,14.0,22,1,0,0,0,0,0,1,2.8,2.8
2020,1,25,Dawson Knox(BUF),2,3,26,13.0,15,0,0,0,0,0,0,1,2.6,2.6
2020,1,26,Ryan Izzo(FA),1,2,25,25.0,25,1,0,0,0,0,0,1,2.5,2.5
2020,1,27,Dan Arnold(FA),2,2,21,10.5,13,0,0,0,0,0,0,1,2.1,2.1
2020,1,28,Mo Alie-Cox(IND),2,2,20,10.0,13,0,0,0,0,0,0,1,2.0,2.0
2020,1,29,Darren Fells(FA),2,2,19,9.5,12,0,0,0,0,0,0,1,1.9,1.9
2020,1,30,Eric Ebron(FA),1,2,18,18.0,18,0,0,0,0,0,0,1,1.8,1.8
2020,1,31,Kaden Smith(FA),2,2,17,8.5,12,0,0,0,0,0,0,1,1.7,1.7
